"Part";"Value";"Device";"Package";"Description";"BUERKLIN";"CONRAD";
"+";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"ANALOGSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"59 F 2140";"";
"ATMEGA328";"ATMega-328";"ATMEGA168/328TQFP32";"TQFP32-08";"Atmel 32-pin 8-bit micro, 16k flash.";"64 S 4010";"155196 - 62";
"C1";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";
"C2";"1u";"CAP0603-CAP";"0603-CAP";"Capacitor";"53D1660";"";
"C3";"10u";"CAP0805-CAP";"0805-CAP";"Capacitor";"53 D 2432";"";
"C4";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";
"C5";"0.1";"CAP0603-CAP";"0603-CAP";"Capacitor";"53 D 1726";"";
"DIGITALSIDE";"M13";"M13";"1X13";"13-pin single row .1" header";"59 F 2140";"";
"FTDI";"FTDI";"M06SIP";"1X06";"Header 6";"59 F 2134";"";
"IC3";"MCP1703CB";"MCP1703CB";"SOT23";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"651422-62";
"JP1";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"JP2";"M01PTH";"M01PTH";"1X01";"Header 1";"";"";
"R1";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";
"R2";"1k5";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 796";"";
"R3";"0";"RESISTOR0603-RES";"0603-RES";"Resistor";"26 E 816";"";
"U$1";"RFM12B_ANTENNA";"RFM12B_ANTENNA";"RFM12B-ANTENNA";"";"";"";
"U$2";"LED0603";"LED0603";"0603-LED";"";"66 S 9766";"";
"U$5";"RFM69_MINIPADS";"RFM69_MINIPADS";"RFM69W-MINPADS";"";"";"";
"W25X40CLSNIG-ND";"AT25F512BWIDE_5.3MM";"AT25F512BWIDE_5.3MM";"SO08WIDE";"4-Mbit SPI flash memory";"";"";
"X1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";
